aaron,ˈɛɹən
abandoned,əˈbændənd
abc,ˈejˌbiˌsi
aberdeen,ˈæbɝˌdin
abilities,əˈbɪləˌtiz
ability,əˈbɪləˌti
able,ˈejbəl
aboriginal,ˌæbɝˈɪdʒənəl
abortion,əˈbɔɹʃən
about,əˈbawt
above,əˈbəv
abraham,ˈejbɹəˌhæm
abroad,əˈbɹɔd
abs,ˈæbz
absence,ˈæbsəns
absent,ˈæbsənt
absolute,ˈæbsəˌlut
absolutely,ˌæbsəˈlutli
absorption,əbˈsɔɹpʃən
abstract,ˈæbˌstɹækt
abstracts,ˈæbstɹækts
abuse,əbˈjus
academic,ˌækəˈdɛmɪk
academics,ˌækəˈdɛmɪks
academy,əˈkædəmi
acc,ˌajˌsiˈsi
accent,ˈækˌsɛnt
accept,ækˈsɛpt
acceptable,ækˈsɛptəbəl
acceptance,ækˈsɛptəns
accepted,ækˈsɛptɪd
accepting,ækˈsɛptɪŋ
accepts,ækˈsɛpts
access,ˈækˌsɛs
accessed,ˈækˌsɛst
accessibility,ˌæksɛsəˈbɪlɪti
accessible,ækˈsɛsəbəl
accessing,ˈækˌsɛsɪŋ
accessories,ækˈsɛsɝiz
accessory,ækˈsɛsɝi
accident,ˈæksədənt
accidents,ˈæksədənts
accommodate,əˈkɑməˌdejt
accommodation,əˌkɑməˈdejʃən
accommodations,əˌkɑməˈdejʃənz
accompanied,əˈkəmpənid
accompanying,əˈkəmpəniɪŋ
accomplish,əˈkɑmplɪʃ
accomplished,əˈkɑmplɪʃt
accordance,əˈkɔɹdəns
according,əˈkɔɹdɪŋ
accordingly,əˈkɔɹdɪŋli
account,əˈkawnt
accountability,əˈkawnəbɪlɪti
accounting,əˈkawnɪŋ
accounts,əˈkawnts
accreditation,əˌkɹɛdəˈtejʃən
accredited,əˈkɹɛdɪtɪd
accuracy,ˈækjɝəsi
accurate,ˈækjɝət
accurately,ˈækjɝətli
accused,əkˈjuzd
ace,ˈejs
acer,ˈejsɝ
achieve,əˈtʃiv
achieved,əˈtʃivd
achievement,əˈtʃivmənt
